Aug-19,279,158
Aug-19,270,169
Aug-19,122,36
Aug-19,311,195
Aug-19,231,122
Aug-19,227,121
Aug-19,142,98
Aug-19,194,100
Aug-19,163,30
Aug-19,147,63
Aug-19,216,104
Aug-19,141,62
Aug-19,149,56
Aug-19,131,43
Aug-19,111,27
Aug-19,118,28
Aug-19,238,112
Aug-19,240,149
Aug-19,94,23
Aug-19,157,75
Aug-19,215,98
Aug-19,89,29
Aug-19,137,45
Aug-19,100,27
Aug-19,148,37
Aug-19,96,24
Aug-19,142,59
Aug-19,110,46
Aug-19,117,27
Aug-19,385,280
Aug-19,169,92
Aug-19,172,77
Aug-19,103,28
Aug-19,135,60
Aug-19,85,17
Aug-19,128,7
Aug-19,80,41
Aug-19,189,80
Aug-19,106,19
Aug-19,116,22
Aug-19,87,47
Aug-19,198,99
Aug-19,115,23
Aug-19,133,30
Aug-19,147,66
Aug-19,105,35
Aug-19,125,21
Aug-19,155,65
Aug-19,106,27
Aug-19,145,51
Aug-19,115,49
Aug-19,108,25
Aug-19,159,34
Aug-19,143,55
Aug-19,103,36
Aug-19,223,140
Aug-19,139,41
Aug-19,261,161
Aug-19,228,123
Aug-19,122,28
Aug-19,115,40
Aug-19,100,19
Aug-19,92,14
Aug-19,170,81
Aug-19,264,159
Aug-19,135,34
Aug-19,89,13
Aug-19,137,44
Aug-19,267,138
Aug-19,143,45
Aug-19,248,155
Aug-19,145,31
Aug-19,80,29
Aug-19,148,67
Aug-19,86,17
Aug-19,120,39
Aug-19,171,84
Aug-19,90,39
Aug-19,193,72
Aug-19,114,34
Aug-19,116,53
Aug-19,189,46
Aug-19,172,75
Aug-19,93,38
Aug-19,148,55
Aug-19,58,28
Aug-19,205,88
Aug-19,164,78
Aug-19,174,72
Aug-19,111,30
Aug-19,167,55
Aug-19,140,55
Aug-19,127,78
Aug-19,221,121
Aug-19,120,41
Aug-19,211,98
Aug-19,144,78
Aug-19,205,90
Aug-19,166,45
Aug-19,126,37
Aug-19,151,70
Aug-19,107,30
Aug-19,256,128
Aug-19,136,47
Aug-19,110,17
Aug-19,115,23
Aug-19,101,12
Aug-19,165,39
Aug-19,249,167
Aug-19,142,48
Aug-19,164,89
Aug-19,103,49
Aug-19,145,82
Aug-19,172,74
Aug-19,82,22
Aug-19,147,51
Aug-19,247,92
Aug-19,117,61
Aug-19,86,42
Aug-19,168,135
Aug-19,315,198
Aug-19,179,94
Aug-19,114,32
Aug-19,216,72
Aug-19,339,232
Aug-19,117,51
Aug-19,233,118
Aug-19,360,256
Aug-19,133,24
Aug-19,152,64
Aug-19,239,116
Aug-19,605,438
Aug-19,130,43
Aug-19,178,51
Aug-19,75,31
Aug-19,111,35
Aug-19,112,76
Aug-19,216,129
Aug-19,126,30
Aug-19,273,187
Aug-19,156,25
Aug-19,235,131
Aug-19,66,9
Aug-19,265,125
Aug-19,178,130
